,k,date,value,var,type
117,la moraleja Property,2026-10-01,,price,depression
118,la moraleja Property,2027-01-01,,price,depression
119,la moraleja Property,2027-04-01,,price,depression
120,la moraleja Property,2027-07-01,,price,depression
121,la moraleja Property,2027-10-01,,price,depression
122,la moraleja Property,2028-01-01,,price,depression
123,la moraleja Property,2028-04-01,,price,depression
124,la moraleja Property,2028-07-01,,price,depression
125,la moraleja Property,2028-10-01,,price,depression
126,la volcana Apartments,2023-10-01,,price,depression
127,la volcana Apartments,2024-01-01,,price,depression
128,la volcana Apartments,2024-04-01,,price,depression
129,la volcana Apartments,2024-07-01,,price,depression
130,la volcana Apartments,2024-10-01,,price,depression
131,la volcana Apartments,2025-01-01,,price,depression
132,la volcana Apartments,2025-04-01,,price,depression
133,la volcana Apartments,2025-07-01,,price,depression
134,la volcana Apartments,2025-10-01,,price,depression
135,la volcana Apartments,2026-01-01,,price,depression
136,la volcana Apartments,2026-04-01,,price,depression
137,la volcana Apartments,2026-07-01,,price,depression
138,la volcana Apartments,2026-10-01,,price,depression
139,la volcana Apartments,2027-01-01,,price,depression
140,la volcana Apartments,2027-04-01,,price,depression
141,la volcana Apartments,2027-07-01,,price,depression
142,la volcana Apartments,2027-10-01,,price,depression
143,la volcana Apartments,2028-01-01,,price,depression
144,la volcana Apartments,2028-04-01,,price,depression
145,la volcana Apartments,2028-07-01,,price,depression
146,la volcana Apartments,2028-10-01,,price,depression
147,lagasca Property,2023-10-01,,price,depression
148,lagasca Property,2024-01-01,,price,depression
149,lagasca Property,2024-04-01,,price,depression
150,lagasca Property,2024-07-01,,price,depression
151,lagasca Property,2024-10-01,,price,depression
152,lagasca Property,2025-01-01,,price,depression
153,lagasca Property,2025-04-01,,price,depression
154,lagasca Property,2025-07-01,,price,depression
155,lagasca Property,2025-10-01,,price,depression
156,lagasca Property,2026-01-01,,price,depression
157,lagasca Property,2026-04-01,,price,depression
158,lagasca Property,2026-07-01,,price,depression
159,lagasca Property,2026-10-01,,price,depression
160,lagasca Property,2027-01-01,,price,depression
161,lagasca Property,2027-04-01,,price,depression
162,lagasca Property,2027-07-01,,price,depression
163,lagasca Property,2027-10-01,,price,depression
164,lagasca Property,2028-01-01,,price,depression
165,lagasca Property,2028-04-01,,price,depression
166,lagasca Property,2028-07-01,,price,depression
167,lagasca Property,2028-10-01,,price,depression
168,Patricia Manor Place,2023-10-01,74740.7804,price,downside
169,Patricia Manor Place,2024-01-01,74868.5741522602,price,downside
170,Patricia Manor Place,2024-04-01,70267.5217188169,price,downside
171,Patricia Manor Place,2024-07-01,68659.18380594382,price,downside
172,Patricia Manor Place,2024-10-01,68113.0442613651,price,downside
173,Patricia Manor Place,2025-01-01,67754.46662271576,price,downside
174,Patricia Manor Place,2025-04-01,67000.4957971924,price,downside
175,Patricia Manor Place,2025-07-01,66383.2331195317,price,downside
176,Patricia Manor Place,2025-10-01,65970.22146192714,price,downside
177,Patricia Manor Place,2026-01-01,65823.45474941352,price,downside
178,Patricia Manor Place,2026-04-01,65867.34466983871,price,downside
179,Patricia Manor Place,2026-07-01,66020.35393787913,price,downside
180,Patricia Manor Place,2026-10-01,66232.18924899737,price,downside
181,Patricia Manor Place,2027-01-01,66454.78956733605,price,downside
182,Patricia Manor Place,2027-04-01,66704.8894080091,price,downside
183,Patricia Manor Place,2027-07-01,66961.30824792065,price,downside
184,Patricia Manor Place,2027-10-01,67227.86057213346,price,downside
185,Patricia Manor Place,2028-01-01,67494.80706675461,price,downside
186,Patricia Manor Place,2028-04-01,67778.0251628905,price,downside
187,Patricia Manor Place,2028-07-01,68069.10741589124,price,downside
188,Patricia Manor Place,2028-10-01,68381.82652805891,price,downside
189,Regency - Tanglewood - Marquee - Wildwood,2023-10-01,75850.7831,price,downside
190,Regency - Tanglewood - Marquee - Wildwood,2024-01-01,75899.7648,price,downside
191,Regency - Tanglewood - Marquee - Wildwood,2024-04-01,72765.483,price,downside
192,Regency - Tanglewood - Marquee - Wildwood,2024-07-01,71611.5287,price,downside
193,Regency - Tanglewood - Marquee - Wildwood,2024-10-01,71420.211,price,downside
194,Regency - Tanglewood - Marquee - Wildwood,2025-01-01,71149.5678,price,downside
195,Regency - Tanglewood - Marquee - Wildwood,2025-04-01,70605.6489,price,downside
196,Regency - Tanglewood - Marquee - Wildwood,2025-07-01,70124.7811,price,downside
197,Regency - Tanglewood - Marquee - Wildwood,2025-10-01,69780.936,price,downside
198,Regency - Tanglewood - Marquee - Wildwood,2026-01-01,69666.3533,price,downside
199,Regency - Tanglewood - Marquee - Wildwood,2026-04-01,69720.3833,price,downside
200,Regency - Tanglewood - Marquee - Wildwood,2026-07-01,69867.2349,price,downside
201,Regency - Tanglewood - Marquee - Wildwood,2026-10-01,70059.0751,price,downside
202,Regency - Tanglewood - Marquee - Wildwood,2027-01-01,70272.84429999998,price,downside
203,Regency - Tanglewood - Marquee - Wildwood,2027-04-01,70521.7568,price,downside
204,Regency - Tanglewood - Marquee - Wildwood,2027-07-01,70780.6143,price,downside
205,Regency - Tanglewood - Marquee - Wildwood,2027-10-01,71061.3084,price,downside
206,Regency - Tanglewood - Marquee - Wildwood,2028-01-01,71355.4282,price,downside
207,Regency - Tanglewood - Marquee - Wildwood,2028-04-01,71655.8856,price,downside
208,Regency - Tanglewood - Marquee - Wildwood,2028-07-01,71975.56549999998,price,downside
209,Regency - Tanglewood - Marquee - Wildwood,2028-10-01,72311.48889999998,price,downside
210,Sutton Place,2023-10-01,84325.743,price,downside
211,Sutton Place,2024-01-01,84469.92537343023,price,downside
212,Sutton Place,2024-04-01,79278.82136092697,price,downside
213,Sutton Place,2024-07-01,77464.22578442571,price,downside
214,Sutton Place,2024-10-01,76848.04780726503,price,downside
215,Sutton Place,2025-01-01,76443.48518910041,price,downside
216,Sutton Place,2025-04-01,75592.82307770266,price,downside
217,Sutton Place,2025-07-01,74896.4009418708,price,downside
218,Sutton Place,2025-10-01,74430.42353691495,price,downside
219,Sutton Place,2026-01-01,74264.83505878905,price,downside
220,Sutton Place,2026-04-01,74314.35354294533,price,downside
221,Sutton Place,2026-07-01,74486.9851390344,price,downside
222,Sutton Place,2026-10-01,74725.98679125265,price,downside
223,Sutton Place,2027-01-01,74977.13398473238,price,downside
224,Sutton Place,2027-04-01,75259.30731468785,price,downside
225,Sutton Place,2027-07-01,75548.61000966933,price,downside
226,Sutton Place,2027-10-01,75849.3457347625,price,downside
227,Sutton Place,2028-01-01,76150.52617975787,price,downside
228,Sutton Place,2028-04-01,76470.0649410591,price,downside
229,Sutton Place,2028-07-01,76798.4763802632,price,downside
230,Sutton Place,2028-10-01,77151.29944877693,price,downside
231,Turks (Approx) - Miami S. Beach 5 stars,2023-10-01,451573.0711,price,downside
232,Turks (Approx) - Miami S. Beach 5 stars,2024-01-01,452051.28583743895,price,downside
233,Turks (Approx) - Miami S. Beach 5 stars,2024-04-01,434687.26430940727,price,downside
234,Turks (Approx) - Miami S. Beach 5 stars,2024-07-01,429190.7226240105,price,downside
235,Turks (Approx) - Miami S. Beach 5 stars,2024-10-01,428199.4244222315,price,downside
236,Turks (Approx) - Miami S. Beach 5 stars,2025-01-01,426404.8016197458,price,downside
237,Turks (Approx) - Miami S. Beach 5 stars,2025-04-01,422556.815752966,price,downside
238,Turks (Approx) - Miami S. Beach 5 stars,2025-07-01,418416.74480285053,price,downside
239,Turks (Approx) - Miami S. Beach 5 stars,2025-10-01,414595.0102503109,price,downside
240,Turks (Approx) - Miami S. Beach 5 stars,2026-01-01,412263.9325557298,price,downside
241,Turks (Approx) - Miami S. Beach 5 stars,2026-04-01,410947.4709227454,price,downside
242,Turks (Approx) - Miami S. Beach 5 stars,2026-07-01,410330.0253094174,price,downside
243,Turks (Approx) - Miami S. Beach 5 stars,2026-10-01,410134.57385842345,price,downside
244,Turks (Approx) - Miami S. Beach 5 stars,2027-01-01,410031.47723976633,price,downside
245,Turks (Approx) - Miami S. Beach 5 stars,2027-04-01,410229.14927204524,price,downside
246,Turks (Approx) - Miami S. Beach 5 stars,2027-07-01,410635.5289172044,price,downside
247,Turks (Approx) - Miami S. Beach 5 stars,2027-10-01,411270.1834988354,price,downside
248,Turks (Approx) - Miami S. Beach 5 stars,2028-01-01,411998.75750639255,price,downside
249,Turks (Approx) - Miami S. Beach 5 stars,2028-04-01,412936.08264468086,price,downside
250,Turks (Approx) - Miami S. Beach 5 stars,2028-07-01,414034.5891214474,price,downside
251,Turks (Approx) - Miami S. Beach 5 stars,2028-10-01,415215.35994839075,price,downside
252,el retiro Farm,2023-10-01,,price,downside
253,el retiro Farm,2024-01-01,,price,downside
254,el retiro Farm,2024-04-01,,price,downside
255,el retiro Farm,2024-07-01,,price,downside
256,el retiro Farm,2024-10-01,,price,downside
257,el retiro Farm,2025-01-01,,price,downside
258,el retiro Farm,2025-04-01,,price,downside
259,el retiro Farm,2025-07-01,,price,downside
260,el retiro Farm,2025-10-01,,price,downside
261,el retiro Farm,2026-01-01,,price,downside
262,el retiro Farm,2026-04-01,,price,downside
263,el retiro Farm,2026-07-01,,price,downside
264,el retiro Farm,2026-10-01,,price,downside
265,el retiro Farm,2027-01-01,,price,downside
266,el retiro Farm,2027-04-01,,price,downside
267,el retiro Farm,2027-07-01,,price,downside
268,el retiro Farm,2027-10-01,,price,downside
269,el retiro Farm,2028-01-01,,price,downside
270,el retiro Farm,2028-04-01,,price,downside
271,el retiro Farm,2028-07-01,,price,downside
272,el retiro Farm,2028-10-01,,price,downside
273,la moraleja Property,2023-10-01,,price,downside
274,la moraleja Property,2024-01-01,,price,downside
275,la moraleja Property,2024-04-01,,price,downside
276,la moraleja Property,2024-07-01,,price,downside
277,la moraleja Property,2024-10-01,,price,downside
278,la moraleja Property,2025-01-01,,price,downside
279,la moraleja Property,2025-04-01,,price,downside
280,la moraleja Property,2025-07-01,,price,downside
281,la moraleja Property,2025-10-01,,price,downside
282,la moraleja Property,2026-01-01,,price,downside
283,la moraleja Property,2026-04-01,,price,downside
284,la moraleja Property,2026-07-01,,price,downside
285,la moraleja Property,2026-10-01,,price,downside
286,la moraleja Property,2027-01-01,,price,downside
287,la moraleja Property,2027-04-01,,price,downside
288,la moraleja Property,2027-07-01,,price,downside
289,la moraleja Property,2027-10-01,,price,downside
290,la moraleja Property,2028-01-01,,price,downside
291,la moraleja Property,2028-04-01,,price,downside
292,la moraleja Property,2028-07-01,,price,downside
293,la moraleja Property,2028-10-01,,price,downside
294,la volcana Apartments,2023-10-01,,price,downside
295,la volcana Apartments,2024-01-01,,price,downside
296,la volcana Apartments,2024-04-01,,price,downside
297,la volcana Apartments,2024-07-01,,price,downside
298,la volcana Apartments,2024-10-01,,price,downside
299,la volcana Apartments,2025-01-01,,price,downside
300,la volcana Apartments,2025-04-01,,price,downside
301,la volcana Apartments,2025-07-01,,price,downside
302,la volcana Apartments,2025-10-01,,price,downside
303,la volcana Apartments,2026-01-01,,price,downside
304,la volcana Apartments,2026-04-01,,price,downside
305,la volcana Apartments,2026-07-01,,price,downside
306,la volcana Apartments,2026-10-01,,price,downside
307,la volcana Apartments,2027-01-01,,price,downside
308,la volcana Apartments,2027-04-01,,price,downside
309,la volcana Apartments,2027-07-01,,price,downside
310,la volcana Apartments,2027-10-01,,price,downside
311,la volcana Apartments,2028-01-01,,price,downside
312,la volcana Apartments,2028-04-01,,price,downside
313,la volcana Apartments,2028-07-01,,price,downside
314,la volcana Apartments,2028-10-01,,price,downside
315,lagasca Property,2023-10-01,,price,downside
316,lagasca Property,2024-01-01,,price,downside
317,lagasca Property,2024-04-01,,price,downside
318,lagasca Property,2024-07-01,,price,downside
319,lagasca Property,2024-10-01,,price,downside
320,lagasca Property,2025-01-01,,price,downside
321,lagasca Property,2025-04-01,,price,downside
322,lagasca Property,2025-07-01,,price,downside
323,lagasca Property,2025-10-01,,price,downside
324,lagasca Property,2026-01-01,,price,downside
325,lagasca Property,2026-04-01,,price,downside
326,lagasca Property,2026-07-01,,price,downside
327,lagasca Property,2026-10-01,,price,downside
328,lagasca Property,2027-01-01,,price,downside
329,lagasca Property,2027-04-01,,price,downside
330,lagasca Property,2027-07-01,,price,downside
331,lagasca Property,2027-10-01,,price,downside
332,lagasca Property,2028-01-01,,price,downside
333,lagasca Property,2028-04-01,,price,downside
334,lagasca Property,2028-07-01,,price,downside
335,lagasca Property,2028-10-01,,price,downside
336,Patricia Manor Place,2023-10-01,74740.7804,price,rateshock
337,Patricia Manor Place,2024-01-01,74868.5741522602,price,rateshock
338,Patricia Manor Place,2024-04-01,69770.11700566538,price,rateshock
339,Patricia Manor Place,2024-07-01,67611.7617744955,price,rateshock
340,Patricia Manor Place,2024-10-01,66185.28954793284,price,rateshock
341,Patricia Manor Place,2025-01-01,64865.14073822572,price,rateshock
342,Patricia Manor Place,2025-04-01,64125.90373625652,price,rateshock
343,Patricia Manor Place,2025-07-01,63755.99758873464,price,rateshock
344,Patricia Manor Place,2025-10-01,63732.414422936046,price,rateshock
345,Patricia Manor Place,2026-01-01,64024.629615059166,price,rateshock
346,Patricia Manor Place,2026-04-01,64489.73970761821,price,rateshock
347,Patricia Manor Place,2026-07-01,65170.32152181477,price,rateshock
348,Patricia Manor Place,2026-10-01,65767.90535814894,price,rateshock
349,Patricia Manor Place,2027-01-01,66275.37080172292,price,rateshock
350,Patricia Manor Place,2027-04-01,66704.88940800911,price,rateshock
351,Patricia Manor Place,2027-07-01,66961.30824792066,price,rateshock
352,Patricia Manor Place,2027-10-01,67227.86057213348,price,rateshock
353,Patricia Manor Place,2028-01-01,67494.80706675463,price,rateshock
354,Patricia Manor Place,2028-04-01,67778.02516289051,price,rateshock
355,Patricia Manor Place,2028-07-01,68069.10741589124,price,rateshock
356,Patricia Manor Place,2028-10-01,68381.82652805893,price,rateshock
357,Regency - Tanglewood - Marquee - Wildwood,2023-10-01,75850.7831,price,rateshock
358,Regency - Tanglewood - Marquee - Wildwood,2024-01-01,75899.7648,price,rateshock
359,Regency - Tanglewood - Marquee - Wildwood,2024-04-01,72312.7827,price,rateshock
360,Regency - Tanglewood - Marquee - Wildwood,2024-07-01,70634.7953,price,rateshock
361,Regency - Tanglewood - Marquee - Wildwood,2024-10-01,69285.1369,price,rateshock
362,Regency - Tanglewood - Marquee - Wildwood,2025-01-01,68265.3548,price,rateshock
363,Regency - Tanglewood - Marquee - Wildwood,2025-04-01,67728.0139,price,rateshock
364,Regency - Tanglewood - Marquee - Wildwood,2025-07-01,67477.9031,price,rateshock
365,Regency - Tanglewood - Marquee - Wildwood,2025-10-01,67521.9648,price,rateshock
366,Regency - Tanglewood - Marquee - Wildwood,2026-01-01,67849.55330000001,price,rateshock
367,Regency - Tanglewood - Marquee - Wildwood,2026-04-01,68330.51300000002,price,rateshock
368,Regency - Tanglewood - Marquee - Wildwood,2026-07-01,69011.16510000001,price,rateshock
369,Regency - Tanglewood - Marquee - Wildwood,2026-10-01,69593.0214,price,rateshock
370,Regency - Tanglewood - Marquee - Wildwood,2027-01-01,70093.0901,price,rateshock
371,Regency - Tanglewood - Marquee - Wildwood,2027-04-01,70521.7568,price,rateshock
372,Regency - Tanglewood - Marquee - Wildwood,2027-07-01,70780.6143,price,rateshock
373,Regency - Tanglewood - Marquee - Wildwood,2027-10-01,71061.3084,price,rateshock
374,Regency - Tanglewood - Marquee - Wildwood,2028-01-01,71355.4282,price,rateshock
375,Regency - Tanglewood - Marquee - Wildwood,2028-04-01,71655.8856,price,rateshock
376,Regency - Tanglewood - Marquee - Wildwood,2028-07-01,71975.56549999998,price,rateshock
377,Regency - Tanglewood - Marquee - Wildwood,2028-10-01,72311.48889999998,price,rateshock
378,Sutton Place,2023-10-01,84325.743,price,rateshock
379,Sutton Place,2024-01-01,84469.92537343023,price,rateshock
380,Sutton Place,2024-04-01,78717.62810359508,price,rateshock
381,Sutton Place,2024-07-01,76282.47947988154,price,rateshock
382,Sutton Place,2024-10-01,74673.07254393575,price,rateshock
383,Sutton Place,2025-01-01,73183.62423133667,price,rateshock
384,Sutton Place,2025-04-01,72349.5854494223,price,rateshock
385,Sutton Place,2025-07-01,71932.24152334723,price,rateshock
386,Sutton Place,2025-10-01,71905.63398770717,price,rateshock
387,Sutton Place,2026-01-01,72235.32365725296,price,rateshock
388,Sutton Place,2026-04-01,72760.0807433034,price,rateshock
389,Sutton Place,2026-07-01,73527.94223534655,price,rateshock
390,Sutton Place,2026-10-01,74202.16186128545,price,rateshock
391,Sutton Place,2027-01-01,74774.70606469331,price,rateshock
392,Sutton Place,2027-04-01,75259.30731468785,price,rateshock
393,Sutton Place,2027-07-01,75548.61000966934,price,rateshock
394,Sutton Place,2027-10-01,75849.3457347625,price,rateshock
395,Sutton Place,2028-01-01,76150.52617975787,price,rateshock
396,Sutton Place,2028-04-01,76470.06494105911,price,rateshock
397,Sutton Place,2028-07-01,76798.47638026321,price,rateshock
398,Sutton Place,2028-10-01,77151.29944877695,price,rateshock
399,Turks (Approx) - Miami S. Beach 5 stars,2023-10-01,451573.0711,price,rateshock
400,Turks (Approx) - Miami S. Beach 5 stars,2024-01-01,452051.28583743895,price,rateshock
401,Turks (Approx) - Miami S. Beach 5 stars,2024-04-01,431400.1637293769,price,rateshock
402,Turks (Approx) - Miami S. Beach 5 stars,2024-07-01,422031.8928962385,price,rateshock
403,Turks (Approx) - Miami S. Beach 5 stars,2024-10-01,413686.5549129207,price,rateshock
404,Turks (Approx) - Miami S. Beach 5 stars,2025-01-01,407081.802367558,price,rateshock
405,Turks (Approx) - Miami S. Beach 5 stars,2025-04-01,403394.91695069463,price,rateshock
406,Turks (Approx) - Miami S. Beach 5 stars,2025-07-01,400925.02531246067,price,rateshock
407,Turks (Approx) - Miami S. Beach 5 stars,2025-10-01,399750.8139721797,price,rateshock
408,Turks (Approx) - Miami S. Beach 5 stars,2026-01-01,400374.9978271095,price,rateshock
409,Turks (Approx) - Miami S. Beach 5 stars,2026-04-01,401874.7119597746,price,rateshock
410,Turks (Approx) - Miami S. Beach 5 stars,2026-07-01,404751.6903594597,price,rateshock
411,Turks (Approx) - Miami S. Beach 5 stars,2026-10-01,407079.9675925126,price,rateshock
412,Turks (Approx) - Miami S. Beach 5 stars,2027-01-01,408843.4669353455,price,rateshock
413,Turks (Approx) - Miami S. Beach 5 stars,2027-04-01,410229.1492720453,price,rateshock
414,Turks (Approx) - Miami S. Beach 5 stars,2027-07-01,410635.5289172045,price,rateshock
415,Turks (Approx) - Miami S. Beach 5 stars,2027-10-01,411270.1834988355,price,rateshock
416,Turks (Approx) - Miami S. Beach 5 stars,2028-01-01,411998.7575063926,price,rateshock
417,Turks (Approx) - Miami S. Beach 5 stars,2028-04-01,412936.0826446809,price,rateshock
418,Turks (Approx) - Miami S. Beach 5 stars,2028-07-01,414034.58912144747,price,rateshock
419,Turks (Approx) - Miami S. Beach 5 stars,2028-10-01,415215.3599483908,price,rateshock
420,el retiro Farm,2023-10-01,,price,rateshock
421,el retiro Farm,2024-01-01,,price,rateshock
422,el retiro Farm,2024-04-01,,price,rateshock
423,el retiro Farm,2024-07-01,,price,rateshock
424,el retiro Farm,2024-10-01,,price,rateshock
425,el retiro Farm,2025-01-01,,price,rateshock
426,el retiro Farm,2025-04-01,,price,rateshock
427,el retiro Farm,2025-07-01,,price,rateshock
428,el retiro Farm,2025-10-01,,price,rateshock
429,el retiro Farm,2026-01-01,,price,rateshock
430,el retiro Farm,2026-04-01,,price,rateshock
431,el retiro Farm,2026-07-01,,price,rateshock
432,el retiro Farm,2026-10-01,,price,rateshock
433,el retiro Farm,2027-01-01,,price,rateshock
434,el retiro Farm,2027-04-01,,price,rateshock
435,el retiro Farm,2027-07-01,,price,rateshock
436,el retiro Farm,2027-10-01,,price,rateshock
437,el retiro Farm,2028-01-01,,price,rateshock
438,el retiro Farm,2028-04-01,,price,rateshock
439,el retiro Farm,2028-07-01,,price,rateshock
440,el retiro Farm,2028-10-01,,price,rateshock
441,la moraleja Property,2023-10-01,,price,rateshock
442,la moraleja Property,2024-01-01,,price,rateshock
443,la moraleja Property,2024-04-01,,price,rateshock
